City,Cloudiness(%),Humidity(%),Latitude,Longitude,Temperature(F),Wind Speed(mph),Cluster
barrow,90,86,71.29,-156.79,26.6,39.15,0
ponta do sol,75,72,32.67,-17.1,60.44,14.99,10
hokitika,0,75,-42.72,170.97,59.02,4.25,3
dikson,100,96,73.51,80.55,30.16,21.39,0
butaritari,58,72,3.07,172.79,83.75,9.89,1
clyde river,40,75,70.47,-68.59,-14.8,11.41,8
victoria,40,72,22.29,114.16,67.33,10.29,9
palmetto,1,61,27.52,-82.57,76.64,8.05,3
sur,19,29,22.57,59.53,63.95,3.09,5
tuatapere,3,69,-46.13,167.68,64.0,1.99,3
isla mujeres,75,65,21.23,-86.73,80.92,13.87,1
znamenskoye,100,92,57.13,73.83,27.28,11.07,0
havre-saint-pierre,90,92,50.23,-63.6,15.8,16.11,0
sakaraha,20,67,-22.9,44.53,69.31,6.13,9
kostino,99,92,58.91,53.27,32.88,13.67,0
albany,20,45,42.6,-73.97,45.37,17.22,2
mataura,0,69,-46.19,168.86,64.0,1.99,3
jamestown,1,44,42.1,-79.24,40.1,14.99,2
bluff,4,67,-46.6,168.33,64.0,4.0,3
erzin,75,82,36.96,36.2,59.29,10.29,10
sibolga,0,93,1.74,98.78,72.34,3.18,3
parana,69,55,-31.73,-60.52,89.01,3.0,1
busselton,36,46,-33.65,115.33,65.91,14.34,9
novikovo,100,76,51.15,37.89,40.69,7.2,0
haines junction,69,68,60.75,-137.51,13.86,2.73,7
sompeta,0,50,18.93,84.6,71.83,2.04,5
saint-joseph,40,83,-21.37,55.62,74.88,19.46,9
hasaki,75,75,35.73,140.83,45.86,13.87,10
san cristobal,40,61,7.77,-72.22,82.4,3.36,9
port alfred,19,96,-33.59,26.89,66.99,3.0,3
tasiilaq,80,66,65.61,-37.64,12.2,2.24,7
cherskiy,100,92,68.75,161.3,-11.36,13.65,7
kapaa,90,69,22.08,-159.32,73.35,16.11,10
mayo,1,24,38.89,-76.51,64.96,11.41,5
nusaybin,100,73,37.08,41.22,54.93,23.89,10
ermelo,88,66,-26.53,29.98,55.67,1.74,10
rikitea,28,76,-23.12,-134.97,76.95,13.09,9
ondjiva,81,60,-17.07,15.73,73.92,5.23,1
east london,2,77,-33.02,27.91,75.34,1.25,3
coahuayana,75,74,18.73,-103.68,80.6,11.41,1
lompoc,90,82,34.64,-120.46,56.79,10.67,10
nikolskoye,40,68,59.7,30.79,29.7,15.66,2
kuching,40,100,1.55,110.33,75.13,2.3,9
georgetown,20,83,5.41,100.34,79.59,3.36,9
torbay,20,62,47.67,-52.73,22.84,6.93,2
iskandar,100,60,41.55,69.7,42.8,6.93,10
puerto ayora,63,70,-0.74,-90.35,82.47,8.05,1
severo-kurilsk,84,82,50.68,156.12,27.43,16.55,0
arraial do cabo,0,83,-22.97,-42.03,78.8,8.05,3
omboue,100,94,-1.57,9.26,77.65,1.77,4
kavieng,12,77,-2.57,150.8,84.24,12.1,3
mitchell,75,44,43.71,-98.03,38.73,4.7,6
ushuaia,20,87,-54.8,-68.3,50.0,6.93,3
gorontalo,8,74,0.54,123.06,79.74,4.94,3
iskateley,79,94,67.68,53.15,16.47,10.58,0
opuwo,13,47,-18.06,13.84,67.6,3.85,5
gallup,90,80,35.53,-108.74,46.27,12.75,10
saint-jovite,75,64,46.12,-74.6,40.15,18.34,10
guerrero negro,17,53,27.98,-114.06,67.48,10.76,5
punta arenas,59,47,-53.15,-70.92,54.14,10.29,6
castro,33,63,-24.79,-50.01,66.38,4.32,9
hermanus,0,94,-34.42,19.23,57.69,11.34,3
saint-augustin,81,84,51.23,-58.65,10.65,11.23,7
boden,13,61,65.83,21.69,15.8,8.05,2
port hardy,20,30,50.7,-127.42,42.8,6.93,5
hobart,75,50,-42.88,147.33,51.26,11.41,6
filadelfia,1,23,39.95,-75.16,62.94,9.17,5
mogadishu,97,81,2.04,45.34,82.74,22.39,4
port lincoln,55,66,-34.73,135.87,60.33,20.92,1
orsha,3,88,54.52,30.41,33.06,8.46,2
marzuq,0,37,14.4,46.47,59.7,5.19,5
davila,20,94,18.47,120.58,73.4,3.36,3
youkounkoun,1,12,12.53,-13.13,79.27,3.94,5
berdigestyakh,100,95,62.1,126.7,-12.15,8.21,7
vaini,90,94,-21.2,-175.2,75.2,11.41,4
bethel,1,23,41.37,-73.41,58.84,12.75,5
xai-xai,18,93,-25.05,33.64,71.24,3.69,3
lincoln,90,39,40.8,-96.67,43.45,5.82,6
carnarvon,75,100,-24.87,113.63,78.8,8.05,4
port blair,28,69,11.67,92.75,81.09,8.16,9
aklavik,90,62,68.22,-135.01,23.92,4.7,7
bredasdorp,0,82,-34.53,20.04,57.6,3.36,3
erenhot,16,49,43.65,111.98,25.92,12.08,2
malinovoye ozero,66,90,51.68,79.78,23.31,9.55,0
cape town,75,93,-33.93,18.42,61.61,1.12,4
zambezi,100,96,-13.54,23.1,66.7,3.11,4
cockburn town,40,73,21.46,-71.14,77.0,12.75,9
cayenne,20,78,4.93,-52.33,80.6,9.17,9
pacific grove,90,71,36.62,-121.92,55.63,16.11,10
bengkulu,61,85,-3.8,102.27,75.43,3.38,1
los llanos de aridane,75,68,28.66,-17.92,63.12,12.75,1
alofi,75,88,-19.06,-169.92,82.4,8.05,4
srednekolymsk,92,89,67.45,153.68,-16.42,11.14,7
hilo,90,69,19.73,-155.09,71.91,12.75,10
porto belo,2,78,-27.16,-48.55,78.3,8.05,3
talnakh,90,92,69.49,88.4,28.4,26.84,0
marawi,36,83,8.0,124.29,73.0,5.99,9
kodiak,1,59,57.79,-152.41,37.4,3.36,2
coquimbo,75,82,-29.95,-71.34,64.4,13.87,10
oildale,1,37,35.42,-119.02,61.18,11.41,5
serenje,100,96,-13.23,30.24,63.7,2.28,4
manturovo,100,82,58.34,44.76,33.8,12.39,0
nishihara,90,93,26.18,127.76,65.57,13.87,4
zhanaozen,7,45,43.3,52.8,48.58,10.69,5
cidreira,0,89,-30.18,-50.21,76.1,12.3,3
hualmay,46,75,-11.1,-77.61,72.73,5.19,9
thompson,75,39,55.74,-97.86,10.4,13.87,6
mehran,90,30,33.12,46.16,59.0,9.17,6
saint george,90,76,37.1,-113.58,48.38,9.17,10
suwannaphum,56,78,15.6,103.8,81.99,3.74,1
tuktoyaktuk,90,85,69.45,-133.04,21.2,25.28,0
broome,1,41,42.25,-75.83,44.29,16.11,5
tambun,20,83,-6.26,107.07,78.28,3.36,9
manaus,40,70,-3.1,-60.02,83.3,5.82,9
katsuura,75,76,35.13,140.3,48.36,19.46,10
port elizabeth,75,100,-33.92,25.57,66.2,9.17,4
muros,14,100,42.78,-9.06,47.17,4.7,3
luwuk,76,72,-0.95,122.79,82.24,8.63,1
teknaf,8,75,20.86,92.31,64.99,1.61,3
seoul,1,73,37.57,126.98,26.35,1.12,2
kushmurun,90,98,52.45,64.63,34.52,17.4,0
asau,100,87,46.43,26.4,43.97,3.36,0
auki,63,76,-8.77,160.7,84.43,14.16,1
gubkinskiy,97,90,64.43,76.5,33.91,21.47,0
sitka,1,47,57.05,-135.33,34.61,6.93,2
faanui,66,76,-16.48,-151.75,82.81,13.91,1
hithadhoo,58,59,-0.6,73.08,83.46,7.7,1
saint-raymond,75,52,45.47,-73.61,40.89,31.09,6
mineiros,0,92,-17.57,-52.55,70.0,4.5,3
xining,0,60,36.62,101.77,22.14,1.63,2
new norfolk,75,50,-42.78,147.06,51.01,11.41,6
chokurdakh,100,96,70.63,147.92,-18.31,8.77,7
aswan,0,37,24.09,32.91,66.2,5.82,5
longyearbyen,40,63,78.22,15.64,-5.8,18.34,8
oistins,40,78,13.07,-59.53,77.0,18.34,9
adre,52,23,13.47,22.2,62.82,16.98,6
