City,Cloudiness(%),Humidity(%),Latitude,Longitude,Temperature(F),Wind Speed(mph)
albany,1,50,42.6,-73.97,38.21,18.34
cuiluan,1,84,47.72,128.65,-2.88,2.68
ostrovnoy,90,95,68.05,39.51,33.94,35.1
nador,90,77,35.17,-2.93,58.24,9.17
nikolskoye,90,92,59.7,30.79,35.35,15.66
college,90,84,64.86,-147.8,8.46,3.36
mahebourg,40,83,-20.41,57.7,77.5,7.47
pevek,100,98,69.7,170.31,-12.41,10.11
selikhino,98,96,50.37,137.5,-1.05,5.08
barrow,90,76,71.29,-156.79,-11.2,5.82
bengkulu,84,89,-3.8,102.27,74.3,3.96
busselton,3,65,-33.65,115.33,65.03,9.4
vila,0,76,42.03,-8.16,58.42,3.36
iqaluit,20,61,63.75,-68.51,-23.4,14.99
rikitea,10,72,-23.12,-134.97,77.94,5.06
klaksvik,83,74,62.23,-6.59,35.6,11.41
port alfred,31,96,-33.59,26.89,66.0,5.01
jamestown,1,47,42.1,-79.24,37.08,12.75
bethel,1,24,41.37,-73.41,44.73,11.41
rigaud,75,55,45.48,-74.3,35.44,13.87
oriximina,92,78,-1.77,-55.87,82.76,3.89
asau,49,78,46.43,26.4,32.0,4.7
victoria,20,77,22.29,114.16,64.45,23.04
punta arenas,100,43,-53.15,-70.92,74.25,14.99
monduli,75,83,-3.3,36.45,71.6,11.41
ambovombe,81,76,-25.17,46.08,78.04,7.18
hobart,37,87,-42.88,147.33,48.7,6.93
fairbanks,90,84,64.84,-147.72,9.01,3.36
amapa,88,89,1.0,-52.0,81.72,4.21
xai-xai,3,88,-25.05,33.64,77.27,4.65
cabo san lucas,5,50,22.89,-109.91,80.51,6.93
mar del plata,20,63,-38.0,-57.56,66.58,10.29
edeia,84,75,-17.34,-49.93,81.5,2.53
east london,20,77,-33.02,27.91,69.8,17.22
spring,1,44,30.08,-95.42,60.1,6.93
ushuaia,40,59,-54.8,-68.3,64.4,3.36
tuktoyaktuk,90,84,69.45,-133.04,5.0,6.93
chuy,85,54,-33.7,-53.46,69.78,10.07
dingle,3,92,11.0,122.67,70.88,12.06
bay roberts,75,67,47.6,-53.26,24.89,20.8
sitka,90,80,57.05,-135.33,34.93,10.29
butaritari,99,70,3.07,172.79,83.35,6.51
agadez,83,13,19.75,10.25,75.15,12.01
thiers,0,64,45.83,3.5,48.94,4.7
narsaq,75,31,60.92,-46.05,21.2,12.75
severo-yeniseyskiy,96,96,60.37,93.04,12.2,3.62
saldanha,44,72,-33.01,17.94,68.0,13.87
harper,86,77,4.38,-7.72,83.84,5.84
tura,96,40,25.52,90.22,69.8,4.52
belaya gora,94,98,68.53,146.42,-14.64,1.28
cape town,20,82,-33.93,18.42,66.02,16.11
batsfjord,85,90,70.63,29.72,28.38,24.7
bakchar,99,97,57.02,82.07,23.41,3.8
coahuayana,40,43,18.73,-103.68,87.8,5.93
ribeira grande,75,72,38.52,-28.7,59.0,8.05
nanga eboko,49,21,4.68,12.37,88.74,1.74
itarema,100,97,-2.92,-39.92,74.8,5.77
kapaa,75,78,22.08,-159.32,71.47,11.41
abancay,75,81,-13.63,-72.88,53.6,10.29
altay,100,57,47.87,88.12,22.24,2.37
half moon bay,40,55,37.46,-122.43,60.66,10.29
khartoum,17,15,15.55,32.53,75.2,6.93
marquette,5,51,46.53,-87.63,42.26,10.29
hithadhoo,100,80,-0.6,73.08,82.02,12.08
assiniboia,8,80,49.63,-105.98,28.02,9.69
port hardy,20,93,50.7,-127.42,41.0,6.93
tuatapere,81,77,-46.13,167.68,52.0,5.01
danilovka,100,96,50.36,44.12,28.15,8.59
codrington,0,76,-38.27,141.97,60.3,9.37
bonthe,34,71,7.53,-12.51,85.42,12.97
hilo,1,73,19.73,-155.09,70.48,5.82
bluff,67,77,-46.6,168.33,52.0,5.01
fortuna,90,93,40.6,-124.16,48.61,4.5
marzuq,0,72,14.4,46.47,65.37,5.14
kitimat,75,95,54.05,-128.65,33.8,12.75
liezen,78,60,47.57,14.23,41.74,2.24
vostok,100,96,46.49,135.88,9.01,6.08
karaton,90,88,-6.34,106.1,79.41,17.22
bonavista,9,67,48.65,-53.11,26.01,14.0
hermanus,100,99,-34.42,19.23,63.88,1.99
airai,53,88,-8.93,125.41,66.97,3.56
lodja,99,69,-3.48,23.43,80.2,0.78
plettenberg bay,63,90,-34.05,23.37,66.65,10.18
kochubey,100,78,44.39,46.58,37.15,11.1
medford,1,70,42.33,-122.88,47.1,0.96
katangli,100,96,51.71,143.23,10.51,2.71
umm kaddadah,16,11,13.6,26.69,73.8,14.79
uttaradit,2,46,17.67,100.5,70.3,4.45
okhotsk,91,97,59.38,143.3,-12.41,2.59
mataura,39,77,-46.19,168.86,52.0,5.01
savannah,1,31,32.08,-81.1,51.19,9.17
turayf,0,71,31.67,38.66,51.8,9.17
atuona,36,79,-9.8,-139.03,81.64,13.69
chulym,100,93,55.1,80.96,25.92,0.94
dikson,100,93,73.51,80.55,14.67,25.32
nakusp,100,92,50.25,-117.8,34.0,5.26
mehamn,51,80,71.04,27.85,30.25,20.96
kahului,40,82,20.89,-156.47,69.33,21.12
chokurdakh,100,97,70.63,147.92,-16.51,1.14
yellowknife,75,70,62.46,-114.35,1.44,8.05
ballina,94,78,-28.87,153.57,67.03,6.93
laem sing,6,41,12.48,102.07,82.0,6.76
vaini,75,100,-21.2,-175.2,77.0,5.82
alice springs,0,25,-23.7,133.88,64.4,5.82
teya,94,95,60.38,92.63,12.69,2.77
rawson,0,43,-43.3,-65.1,71.51,16.49
avarua,93,83,-21.21,-159.78,82.4,10.29
kamenka,100,92,51.32,42.77,30.47,5.99
sierra vista,90,87,31.55,-110.3,55.09,10.29
northam,20,81,51.03,-4.22,48.83,9.17
vangaindrano,74,96,-23.35,47.6,72.66,2.46
puerto ayacucho,40,35,5.66,-67.62,98.6,9.17
mackay,90,88,-21.15,149.2,76.62,19.46
mafinga,100,84,-7.25,35.07,73.6,2.89
muravlenko,73,79,63.79,74.52,10.49,22.3
port elizabeth,75,93,-33.92,25.57,66.2,12.75
ponnampet,20,94,12.15,75.93,78.8,2.24
vila franca do campo,20,72,37.72,-25.43,59.0,9.17
penzance,40,93,50.12,-5.54,49.77,16.11
zhezkazgan,100,93,47.8,67.71,16.75,7.85
matagami,75,55,49.75,-77.63,35.6,14.99
new norfolk,0,87,-42.78,147.06,48.9,6.93
stroud,90,87,51.75,-2.2,46.9,20.8
laguna,1,41,38.42,-121.42,64.09,4.7
saint-augustin,100,83,51.23,-58.65,20.05,22.84
osmena,0,79,10.52,119.93,78.8,26.13
severnyy,75,97,50.68,36.55,33.8,2.24
bereda,0,87,43.27,-7.54,51.85,1.12
lasa,54,59,46.62,10.7,37.81,4.7
kedrovyy,40,85,56.17,91.82,23.0,2.24
tiksi,92,91,71.69,128.87,-10.79,9.78
bambous virieux,40,83,-20.34,57.76,77.0,12.41
ciudad bolivar,95,38,8.12,-63.55,93.79,7.31
shache,0,38,38.42,77.24,37.78,2.19
murdochville,53,73,48.96,-65.5,28.06,9.1
khatanga,98,82,71.97,102.5,2.52,13.51
axim,100,81,4.87,-2.24,81.86,7.83
safford,90,93,32.83,-109.71,49.01,8.05
arraial do cabo,75,74,-22.97,-42.03,78.8,8.05
fomboni,100,72,-12.28,43.74,85.73,8.93
provideniya,48,93,64.38,-173.3,-19.34,3.15
samarai,91,89,-10.62,150.67,77.65,3.6
comodoro rivadavia,0,23,-45.87,-67.5,84.2,17.22
bredasdorp,100,72,-34.53,20.04,65.25,9.17
carnarvon,40,88,-24.87,113.63,75.2,6.93
lucapa,98,87,-8.42,20.74,72.91,0.76
khash,0,51,28.22,61.22,59.27,12.68
pata,5,87,17.72,121.5,63.54,4.36
kolpashevo,85,94,58.31,82.91,18.72,7.0
usinsk,100,94,65.99,57.53,30.61,23.67
dhar,0,63,22.6,75.3,66.2,5.82
kaeo,34,100,-35.1,173.78,61.0,14.38
grindavik,75,70,63.84,-22.43,32.0,1.12
cayenne,75,70,4.93,-52.33,86.0,12.75
puerto ayora,75,78,-0.74,-90.35,82.4,9.17
bubaque,32,70,11.28,-15.83,78.76,18.59
castro,92,79,-24.79,-50.01,71.71,3.91
rosarito,75,93,32.33,-117.03,55.81,4.7
tomatlan,47,38,19.93,-105.25,89.02,5.32
cidreira,19,72,-30.18,-50.21,68.95,19.46
sao filipe,61,76,14.9,-24.5,69.55,22.26
longavi,0,22,-35.97,-71.68,90.7,6.46
lebu,3,57,-37.62,-73.65,69.22,6.13
lekoni,72,57,-1.58,14.26,83.75,2.73
mwense,100,81,-10.38,28.7,73.24,1.68
kichera,100,97,55.94,110.1,9.37,1.7
tsumeb,40,77,-19.23,17.72,69.8,8.05
mapiri,99,91,-15.25,-68.17,67.87,0.81
bauchi,3,15,10.5,10.0,84.15,6.93
kondinskoye,0,94,59.65,67.41,9.36,7.45
batticaloa,79,94,7.71,81.69,73.99,4.12
tasiilaq,0,61,65.61,-37.64,6.71,7.76
chapais,90,63,49.78,-74.85,30.2,14.99
nosy varika,100,92,-20.58,48.53,74.59,2.82
biasca,40,61,46.36,8.97,44.28,6.89
lao cai,97,86,22.48,103.95,63.27,1.43
nuzvid,0,88,16.78,80.85,71.6,4.68
awjilah,0,49,29.11,21.29,58.08,10.42
rafai,25,23,4.95,23.92,84.58,3.71
nanortalik,73,77,60.14,-45.24,23.45,5.93
mutsu,75,74,41.29,141.22,38.8,5.82
yerbogachen,100,96,61.28,108.01,14.32,4.79
lethem,57,26,3.38,-59.8,99.27,11.45
ponta do sol,20,72,32.67,-17.1,68.0,16.11
katsuura,40,37,35.13,140.3,48.74,16.11
hovd,100,65,48.01,91.64,18.55,2.8
nalut,0,29,30.33,10.85,55.62,10.67
biltine,0,8,14.53,20.92,78.62,9.6
salvador,0,38,13.83,-88.92,91.96,13.87
tocache,100,90,-8.18,-76.51,76.8,0.22
qaanaaq,100,64,77.48,-69.36,-14.96,4.36
pacific grove,90,82,36.62,-121.92,57.7,6.93
varzelandia,56,57,-15.7,-44.03,86.54,3.2
qasigiannguit,75,54,68.82,-51.19,1.4,8.05
flin flon,40,51,54.77,-101.86,35.6,13.87
aitape,46,83,-3.14,142.35,81.19,10.47
upernavik,22,97,72.79,-56.15,-17.97,0.36
raudeberg,100,80,61.99,5.14,38.84,28.86
vaasa,90,93,63.08,21.67,37.56,8.05
port moresby,98,74,-9.44,147.18,83.37,5.06
salalah,20,69,17.02,54.09,77.0,3.36
port macquarie,90,100,-31.43,152.92,65.7,5.82
fort-shevchenko,100,68,44.51,50.26,39.42,11.32
cherskiy,99,98,68.75,161.3,-19.89,4.72
sola,3,82,-13.88,167.55,81.54,14.65
